Source Location (kilometers) : (0, 0, 3).
Receiver Location (kilometers) : (223.336, 4.1487, 0).
theta = 9.95436, phi = 89.9995,  c0(zground) = 0.33676 km/s
# x [km]	y [km]	z [km]	Geo. Atten. [dB]	Atmo. Atten. [dB]	Travel Time [s]	  rho  	   c [km/s]  	   u [km/s]  	   v [km/s]  	   w [km/s]  	Slowness_x [s/km]	Slowness_y [s/km]	Slowness_z [s/km]	Jacobian [km^2/rad^2]
135.652	2.39245	37.3167	-81.2975	-0.0236846	435.372	6.22367e-06	0.315012	0.0219684	0.00604906	0	2.83273	0.0216184	-0.967513	-4920.41
136.84	2.4229	36.9298	-81.2037	-0.0240533	439.1	6.58664e-06	0.314162	0.021422	0.00575422	0	2.83258	0.0215834	-1.01096	-5097.63
138.024	2.45231	36.5283	-81.0764	-0.0244027	442.845	6.98519e-06	0.313329	0.0210256	0.00547025	0	2.83242	0.021513	-1.04866	-5246.85
139.203	2.48072	36.1143	-80.9206	-0.0247318	446.603	7.42022e-06	0.312495	0.0208098	0.005223	0	2.83227	0.021412	-1.08074	-5368.27
140.378	2.5083	35.6904	-80.7399	-0.0250402	450.372	7.89333e-06	0.311672	0.0207653	0.00504035	0	2.83211	0.0212928	-1.1075	-5463.16
141.551	2.53534	35.2585	-80.5343	-0.0253273	454.15	8.40656e-06	0.310907	0.0208608	0.00494999	0	2.83197	0.0211597	-1.12873	-5531.01
142.721	2.5622	34.8201	-80.3137	-0.0255929	457.937	8.96317e-06	0.310159	0.0210472	0.00497136	0	2.83182	0.0210129	-1.14695	-5583.64
143.889	2.58933	34.3761	-80.0838	-0.025837	461.73	9.56778e-06	0.309416	0.0212593	0.00511611	0	2.83169	0.020852	-1.16413	-5630.63
145.056	2.6172	33.9267	-79.8484	-0.0260597	465.53	1.02265e-05	0.308681	0.0214248	0.00538847	0	2.83156	0.0206715	-1.18193	-5679.86
146.219	2.64626	33.4713	-79.6109	-0.0262613	469.338	1.09463e-05	0.307949	0.0214791	0.00576233	0	2.83144	0.0204666	-1.20198	-5738.94
147.38	2.67679	33.0089	-79.3719	-0.0264425	473.154	1.17352e-05	0.307231	0.0213756	0.0061765	0	2.83133	0.0202348	-1.22501	-5811.42
